Name,Address,Phone,URL,LinkedIn,Reviews,Emails
Buckhead Dental Associates,"3490 Piedmont Rd NE UNIT 110, Atlanta, GA 30305, United States",+1 404-266-1300,buckheaddentalassociates.com,https://www.linkedin.com/company/buckhead-dental-associates,(842),"['arousso@buckheaddentalassociates.com', 'dj@buckheaddentalassociates.com', 'a_rousso@buckheaddentalassociates.com', 'abby_r@buckheaddentalassociates.com', 'abby.r@buckheaddentalassociates.com', 'info@buckheaddentalassociates.com', 'd.j@buckheaddentalassociates.com']"
Atlanta Dentistry By Design,"1800 Peachtree Rd #200, Atlanta, GA 30309, United States",+1 470-380-0049,atlantadentistrybydesign.com,https://www.linkedin.com/company/atlanta-dentistry-by-design,(673),"['randi@atlantadentistrybydesign.com', 'Randi@atlantadentistrybydesign.com', 'randi.peppers@atlantadentistrybydesign.com']"
Dentistry for Midtown Atlanta,"1401 Peachtree St NE Suite 100, Atlanta, GA 30309, United States",+1 470-795-7537,dentistryformidtown.com,https://www.linkedin.com/company/dentistry-for-midtown,(398),"['support@dentistryformidtown.com', 'sales@dentistryformidtown.com', '855juniper@dentistryformidtown.com', 'd.bordeaux@dentistryformidtown.com', 'admin@dentistryformidtown.com', 'jane@dentistryformidtown.com']"
Atlanta Dental Spa,"3235 Roswell Rd NE UNIT 400, Atlanta, GA 30305, United States",+1 404-816-2230,atlantadentalspa.com,https://www.linkedin.com/company/atlanta-dental-spa,(880),"['careers@atlantadentalspa.com', 'jane@atlantadentalspa.com', 'kimberly@atlantadentalspa.com', 'info@atlantadentalspa.com']"
Feather Touch Dental Care,"1175 Peachtree St NE bldg 100 suite 1204, Atlanta, GA 30361, United States",+1 404-892-2097,atlantadentistmidtown.com,https://www.linkedin.com/company/feather-touch-dental-care-llc,"(1,283)","['feathertouch@atlantadentistmidtown.com', 'j-doe@atlantadentistmidtown.com', 'doe_j@atlantadentistmidtown.com', 'aubrie@atlantadentistmidtown.com']"
Buckhead Atlanta Dentistry,"3525 Piedmont Rd NE Building 8 Suite 420, Atlanta, GA 30305, United States",+1 404-882-8161,dentalassociatesofbuckhead.com,https://www.linkedin.com/company/buckhead-atlanta-dentistry,(360),[]
Sage Dental of Midtown Atlanta,"1080 Peachtree St NE #2, Atlanta, GA 30309, United States",+1 404-685-8605,mysagedental.com,https://www.linkedin.com/company/sage-dental-southeast-florida,(417),"['marketing@mysagedental.com', 'r@mysagedental.com', 'jdoe@mysagedental.com', 'xxxx@mysagedental.com', 'bcabibi@mysagedental.com', 'careers@mysagedental.com', 'First.Last@mysagedental.com', 'd@mysagedental.com', 'patientfeedback@mysagedental.com']"
Heart of Vinings Dentistry,"Overlook 3 Building, 2859 Paces Ferry Rd SE Suite 530, Atlanta, GA 30339, United States",+1 678-355-8980,hovdentistry.com,https://www.linkedin.com/company/heart-of-vinings-dentistry,"(1,128)","['lacey@hovdentistry.com', 'info@hovdentistry.com']"
New Face Dentistry - Atlanta,"700 Morosgo Dr NE J - 100, Atlanta, GA 30324, United States",+1 404-474-7720,newfacedentistry.com,,(607),"['info@newfacedentistry.com', 'janice@newfacedentistry.com']"
East Atlanta Family Dental,"1390 Memorial Dr SE, Atlanta, GA 30317, United States",+1 404-688-2223,eastatlfamilydental.com,https://www.linkedin.com/company/east-atlanta-family-dental,(319),"['contact@eastatlfamilydental.com', 'jsmith@eastatlfamilydental.com']"
Ansley Midtown Dental,"222 12th St NE #1a, Atlanta, GA 30309, United States",+1 404-873-2957,ansleymidtowndental.com,,(402),[]
Ponce Dental Studio,"892 Ponce De Leon Ave NE Suite 101, Atlanta, GA 30306, United States",+1 404-476-6589,poncedentalstudio.com,https://www.linkedin.com/company/ponce-dental-studio,(581),['janedoe@poncedentalstudio.com']
"Smile Forever Atlanta: Dental Implants, Cosmetic Dentist",,+1 404-261-8880,smileforeveratlanta.com,,(551),[]
Moores Mill Dental,"1980 Moores Mill Rd NW, Atlanta, GA 30318, United States",+1 404-351-5200,mooresmilldental.com,https://www.linkedin.com/company/moores-mill-dental,(192),['info@mooresmilldental.com']
Thomas W Kauffman DDS PC,"133 Peachtree St #4050, Atlanta, GA 30303, United States",+1 404-524-1981,atlantasedationdentistry.org,,(364),['twk@atlantasedationdentistry.org']
Drescher & Cohen DDS,,,midtownatlantadentists.com,https://www.linkedin.com/company/drescher-&-cohen-dds,(873),"['stephan.drescher@midtownatlantadentists.com', 'stephan_drescher@midtownatlantadentists.com', 'info@midtownatlantadentists.com', 'nancy@midtownatlantadentists.com', 'roach.tonya@midtownatlantadentists.com', 'roach.t@midtownatlantadentists.com', 'roach_t@midtownatlantadentists.com', 'stephandrescher@midtownatlantadentists.com', 'roach@midtownatlantadentists.com']"
Atlanta Smiles & Wellness,,+1 404-262-7733,atlantasmiles.com,https://www.linkedin.com/company/atlanta-smiles-and-wellness,(392),"['JSmith@atlantasmiles.com', 'frontdesk@atlantasmiles.com', 'John@atlantasmiles.com']"
Buckhead Family Dentistry,,+1 404-846-9100,familydentalatlanta.com,,(354),['jsmith@familydentalatlanta.com']
Atlanta Dental Group PC,"1624 Piedmont Ave NE, Atlanta, GA 30324, United States",+1 404-876-8123,atlantadentist.com,https://www.linkedin.com/company/atlanta-dental-group,(413),"['jsmith@atlantadentist.com', 'pvarela@atlantadentist.com', 'patriciavarela@atlantadentist.com', 'p_varela@atlantadentist.com', 'patricia_varela@atlantadentist.com', 'p.varela@atlantadentist.com']"
Pampered Smiles,"3730 Carmia Dr SW #170, Atlanta, GA 30331, United States",+1 404-891-9489,atlantapamperedsmiles.com,https://www.linkedin.com/company/pampered-smiles,(265),"['jane.doe@atlantapamperedsmiles.com', 'jsmith@atlantapamperedsmiles.com']"
Siegel and Dolt Comprehensive Dental Care,"2751 Buford Hwy NE #302, Atlanta, GA 30324, United States",+1 404-634-1277,siegelanddolt.com,https://www.linkedin.com/company/siegel-and-dolt-comprehensive-dental-care,(193),"['smile@siegelanddolt.com', 'dr.chas@siegelanddolt.com', 'laura@siegelanddolt.com', 'hygiene@siegelanddolt.com', 'rclark@siegelanddolt.com']"
Peachtree Smile Center,"2045 Peachtree Rd #100, Atlanta, GA 30309, United States",+1 404-605-0359,smile-center.net,https://www.linkedin.com/company/peachtree-smile-center-llc,(220),['jsmith@smile-center.net']
Pharr Road Dentistry,"550 Pharr Rd NE UNIT 315, Atlanta, GA 30305, United States",+1 404-261-1486,pharrroaddentistry.com,https://www.linkedin.com/company/pharr-road-dentistry,(191),"['Info@pharrroaddentistry.com', 'info@pharrroaddentistry.com']"
Atlanta Family Dentistry,,+1 770-850-8442,atlfamilydentistry.com,,(606),['info@atlfamilydentistry.com']
Aesthetic & Implant Dentistry of Atlanta,"200 Galleria Pkwy SE Suite 1830, Atlanta, GA 30339, United States",+1 770-955-0550,dentist-atlanta.com,,(167),[]
19th Street Dental,"232 19th St NW #7200, Atlanta, GA 30363, United States",+1 404-567-8900,19thstreetdental.com,https://www.linkedin.com/company/19th-street-dental,(495),"['trusharpatel@19thstreetdental.com', 'trushar_patel@19thstreetdental.com', 'drpatel@19thstreetdental.com', 'office@19thstreetdental.com', 'trushar.patel@19thstreetdental.com']"
Premier Dental Care of Buckhead,"Tuxedo Center, 3580 Piedmont Rd NE Suite 113, Atlanta, GA 30305, United States",+1 404-491-7711,premierdentalcareofbuckhead.com,,(202),[]
Briarcliff Dental Group,"2775 Briarcliff Rd NE, Atlanta, GA 30329, United States",+1 252-651-4419,briarcliffdentalgroup.com,,(582),[]
Gallery 32 Dental Arts,"3580 Piedmont Rd NE #104, Atlanta, GA 30305, United States",+1 404-255-6929,dentistinbuckhead.com,,(104),[]
Buckhead Dental Center,"2282 Peachtree Rd, Atlanta, GA 30309, United States",+1 404-603-8350,buckhead-dental.com,https://www.linkedin.com/company/buckhead-dental-center,(226),[]
Midtown Smile Center,"999 Peachtree St NE #700, Atlanta, GA 30309, United States",+1 678-904-8095,midtownsmilecenter.com,,(614),[]
Elegant Smiles,"2882 N Druid Hills Rd Ste A, Atlanta, GA 30329, United States",+1 404-634-4224,dentalatl.com,,"(1,077)",[]
Madison Yards Family Dentistry,,+1 404-836-4595,madisonyardsdentistry.com,,(629),[]
Sage Dental of North Druid Hills,"2171 Lavista Rd NE Suite 200, Atlanta, GA 30329, United States",+1 404-460-5710,mysagedental.com,,(301),[]
Peachtree Smiles Dentistry,"1720 Peachtree St NE # 632, Atlanta, GA 30309, United States",+1 404-999-5482,peachtreesmiles.com,,(331),[]
Collier Hills Dental,,+1 404-355-4952,collierhillsdental.com,,(346),[]
My North Atlanta Dentist,"5252 Roswell Rd UNIT 105, Atlanta, GA 30342, United States",+1 404-252-5252,mynorthatlantadentist.com,,(345),[]
"Midtown Dental: Esthetic, Restorative, & Implant Dentistry","999 Peachtree St NE #715, Atlanta, GA 30309, United States",+1 678-679-9590,smilemidtown.com,,(190),[]
"Trust Dental Group: Dr. Robert Cudia, DMD","303 Peachtree St NE Suite LL-150, Atlanta, GA 30308, United States",+1 404-525-2741,trustdentalgroup.com,,(410),[]
Baumrind Family Dentistry,"100 Peachtree St #1820, Atlanta, GA 30303, United States",+1 404-659-4222,drbaumrind.com,,(144),[]
Downtown Dental Center,"75 Marietta St #100, Atlanta, GA 30303, United States",+1 404-577-0868,downtowndentalcenter.com,,(107),[]
Riverwood Dental,"3350 Riverwood Pkwy #2120, Atlanta, GA 30339, United States",+1 770-955-2505,riverwooddental.com,,"(1,128)",[]
MINT dentistry | Midtown Atlanta,"1010 W Peachtree St NW C-2, Atlanta, GA 30309, United States",+1 678-884-1772,mintdentistry.com,,(263),[]
"George Andrews, DDS","2993 Piedmont Rd NE, Atlanta, GA 30305, United States",+1 404-383-9653,georgeandrewsdds.com,,(463),[]
MouthPeace Dental,"1000 Marietta St NW Suite 126, Atlanta, GA 30318, United States",+1 404-549-5570,mouthpeacedental.com,,(154),[]
Buckhead Dental Partners,"3525 Piedmont Rd NE building 8 suite 415, Atlanta, GA 30305, United States",+1 404-261-0610,buckheaddentalpartners.com,,(222),[]
Inman Park Dentistry,"245 North Highland Avenue Northeast #260, Atlanta, GA 30307, United States",+1 404-589-7799,inmanparkdentistry.com,,(156),[]
Smiles 4 Grant Park,"301 Memorial Dr SE CU-A, Atlanta, GA 30312, United States",+1 404-328-7177,smiles4grantpark.com,,(419),[]
Bender Dental Associates,"45 Lenox Pointe NE, Atlanta, GA 30324, United States",+1 404-846-0422,healthybeautifulteeth.com,,(215),[]
Artistic Dentistry of Atlanta,"2296 Henderson Mill Rd Suite 108, Atlanta, GA 30345, United States",+1 404-325-2905,artisticdentistryofatlanta.com,,(295),[]
The Campbell Dental Group,"4840 Roswell Rd a100, Atlanta, GA 30342, United States",+1 404-256-0009,thecampbelldentalgroup.com,,(112),[]
Gentle Dental Care/Georgia Dental Implant Center,,+1 678-321-1888,atlgentledental.com,,(570),[]
Dentistry of Sandy Springs,"5600 Roswell Rd STE K120, Atlanta, GA 30342, United States",+1 404-809-3400,dentistryofsandysprings.com,,(323),[]
"Piedmont Smiles: Vincent Marsh, DMD","3535 Piedmont Rd NE Suite P-80, Atlanta, GA 30305, United States",+1 404-237-3309,piedmontsmiles.com,,(128),[]
A to Z Pediatric Dentistry,"857 Collier Rd NW Suite 3, Atlanta, GA 30318, United States",+1 404-937-3888,atozsmiles.com,,(729),[]
Dental Esthetics Studio,,+1 678-661-5299,dentalestheticsstudio.com,,(305),[]
Art of Cosmetic Dentistry,,+1 404-816-8200,artofcosmeticdentistry.com,,(283),[]
Mazzawi Dental Intown,"371 East Paces Ferry Rd NE Suite 725, Atlanta, GA 30305, United States",+1 404-816-8725,mazzawidentalintown.com,,(256),[]
"East Atlanta Pediatric Dentistry: Teresa Jordan, DMD","2646 Gresham Rd S E, Atlanta, GA 30316, United States",+1 404-212-9060,eastatlantapd.com,,(527),[]
Intown Smile Studio,"950 W Peachtree St NW #245, Atlanta, GA 30309, United States",+1 404-381-8586,intownsmilestudio.com,,(143),[]
Perimeter Dental Midtown,"77 12th St NE, Atlanta, GA 30309, United States",+1 770-525-7712,perimeterdentalga.com,,(128),[]
Tend Ponce City Market,"650 North Avenue NE Suite #S205-B, Atlanta, GA 30308, United States",+1 404-574-5519,hellotend.com,,(460),[]
Tech Dentistry,,+1 404-733-2022,techdentistry.com,,(878),[]
Arts District Dental,"1355 Peachtree St NE Ste 1225, Atlanta, GA 30309, United States",+1 404-724-9918,artsdistrictdentalga.com,,(348),[]
Restoration Dental,,+1 404-254-1128,restdental.com,,(78),[]
Dental Care 24/7 Atlanta,"285 Centennial Olympic Park Dr NW Commercial Unit 2B, Atlanta, GA 30313, United States",+1 470-809-1584,dentalcare247.com,,(421),[]
Maple Drive Dentistry,"2915 Piedmont Rd NE # C, Atlanta, GA 30305, United States",+1 404-237-0497,mapledrivedentistry.com,,(200),[]
Glenwood Dentistry,"790 Glenwood Ave SE #210, Atlanta, GA 30316, United States",+1 404-260-4767,glenwooddentistry.com,,(347),[]
Atlanta Dental Wellness,"3525 Piedmont Rd NE #5-408, Atlanta, GA 30305, United States",+1 404-233-1102,atldentalwellness.com,,(82),[]
"Buckhead Dental Care: Amy Mandalia, DDS",,+1 404-448-2970,buckheaddentalcare.com,,(245),[]
Fabulous Smiles of Atlanta,"648 Evans St SW, Atlanta, GA 30310, United States",+1 404-758-0770,myfabuloussmile.com,,(223),[]
Buckhead Smile Center Team,"2900 Peachtree Rd Suite #209, Atlanta, GA 30305, United States",+1 404-261-0909,smilecenterteam.com,,(562),[]
"Atlanta Pediatric Dentist Susan H. Lee, DMD: Children's Dentistry","3280 Howell Mill Rd NW UNIT 121, Atlanta, GA 30327, United States",+1 404-355-8557,atlantakidsdentist.com,,(436),[]
Ideal Dental Buckhead,,+1 470-338-5350,myidealdental.com,,(313),[]
"Comfort Smiles Atlanta: Shawn Lottier, DDS, MAGD, DICOI","Lenox Towers #1125, 3400 Peachtree Rd NE #1125, Atlanta, GA 30326, United States",+1 404-365-0211,atlantacomfortsmiles.com,,(101),[]
Smile ATL,"3280 Howell Mill Rd NW # 339, Atlanta, GA 30327, United States",+1 404-351-1035,smileatl.com,,(75),[]
Colony Square Dental Associates,"1175 Peachtree St NE Suite 1210, Atlanta, GA 30361, United States",+1 404-874-6464,dentistmidtownatlanta.com,,(143),[]
Dunson Dental Design,"1100 Peachtree St NE Suite 680, Atlanta, GA 30309, United States",+1 404-998-5032,dunsondental.com,,(123),[]
Atlanta Dental Arts,"2166 Lavista Rd, Atlanta, GA 30329, United States",+1 404-872-4455,atlantadentalarts.com,,(60),[]
Grant Park Dental Group,,+1 404-624-1230,grantpark-dental.com,,(354),[]
Cosmetic Dentistry of Atlanta,"3280 Howell Mill Rd NW #335, Atlanta, GA 30327, United States",+1 404-351-8790,cosmeticdentistryofatlanta.com,,(20),[]
Ideal Dental Chastain Park,,+1 470-338-5353,myidealdental.com,,(185),[]
Palm Branch Dentistry,,+1 404-351-5666,palmbranchdentistry.com,,(70),[]
Polish Dental Center of Midtown,"587 Virginia Ave NE UNIT 5, Atlanta, GA 30306, United States",+1 404-389-0700,polishdentalcentermidtown.com,,(276),[]
East Lake Family Dental,"2325 Glenwood Ave SE, Atlanta, GA 30316, United States",+1 678-800-8316,eastlakefamilydentalga.com,,(139),[]
Dentique,"1545 Peachtree St NE #100, Atlanta, GA 30309, United States",+1 404-874-8744,dentiqueatl.com,,(315),[]
Vinings Center for Dentistry,"3621 Vinings Slope SE Suite 4350-A, Atlanta, GA 30339, United States",+1 770-444-9393,viningsdentistry.com,,(353),[]
Tend Buckhead,"265 East Paces Ferry Rd NE, Atlanta, GA 30305, United States",+1 404-882-7864,hellotend.com,,(365),[]
Great Expressions Dental Centers - Cascade,"3752 Cascade Rd #190, Atlanta, GA 30331, United States",+1 678-836-2118,greatexpressions.com,,"(1,795)",[]
Brookhaven Village Dentistry,"2814 Buford Hwy NE, Atlanta, GA 30329, United States",+1 404-486-7661,brookhavenvillagedentistry.com,,(321),[]
DentFirst Dental Care,"3435 Lenox Rd NE, Atlanta, GA 30326, United States",+1 678-248-6268,dentfirst.com,,(394),[]
MidCity Dentistry,,+1 404-685-3100,midcitydentistry.net,,(37),[]
Dental Implant and Aesthetic Specialists of Atlanta,"2801 Buford Hwy NE # 250, Atlanta, GA 30329, United States",+1 404-321-4588,drbrettlangston.com,,(385),[]
Promenade Dental Care,"1230 Peachtree St NE #2475, Atlanta, GA 30309, United States",+1 404-607-6960,promenadedental.com,,(68),[]
West Buckhead Dentistry,"3193 Howell Mill Rd NW #230, Atlanta, GA 30327, United States",+1 404-351-4000,westbuckheaddentistry.com,,(126),[]
Camp Creek Dental,"3886 Princeton Lakes Way #220, Atlanta, GA 30331, United States",+1 404-267-6148,campcreekdental.com,,(208),[]
Centers for Pediatric Dental Sedation,"3006 Clairmont Rd #100, Atlanta, GA 30329, United States",+1 844-682-4737,c4pds.com,,"(1,152)",[]
Atlanta Dental Studio,"3438 Clairmont Rd, Brookhaven, GA 30319, United States",+1 678-486-1501,atldentalstudio.com,,(134),[]
Upper West Midtown Dentistry,"2324 Marietta Rd NW, Atlanta, GA 30318, United States",+1 770-562-7570,upperwestmidtowndentistry.com,,(28),[]
Dentistry At Camp Creek,"3515 Camp Creek Pkwy #100, Atlanta, GA 30344, United States",+1 404-629-9290,dentistryatcampcreek.com,,(136),[]
MouthPeace Dental - East Point,"1833 Delowe Dr, Atlanta, GA 30311, United States",+1 404-793-2570,mouthpeacedental.com,,(79),[]
Dr. Terrance L. Jeter and Associates Cosmetic and Family Dentistry,"275 14th St NW, Atlanta, GA 30318, United States",+1 470-428-4240,drtjeter.com,,(81),[]
Brookhaven Dental Associates,"1407 Dresden Dr #200, Atlanta, GA 30319, United States",+1 404-816-9336,brookhavendentalassociates.com,,(395),[]
"Dr. Bahar Nia, DMD","316 Pharr Rd NE, Atlanta, GA 30305, United States",+1 404-400-0400,drbaharnia.com,,(237),[]
Buckhead Esthetic Dentistry,"3098 Piedmont Rd NE #100, Atlanta, GA 30305, United States",+1 404-477-3060,buckheaddentist.org,,(86),[]
"Smiles in Buckhead/Kendra Derrick, DDS","3833 Roswell Rd NE suite 100, Atlanta, GA 30342, United States",+1 404-261-6794,smilesinbuckhead.com,,(163),[]
Ponce Dental Group,"699 Ponce De Leon Ave NE Ste 1, Atlanta, GA 30308, United States",+1 678-221-4954,poncedentalgroup.com,,(151),[]
Capital City Dentistry of Atlanta,"3834 Peachtree Rd NE, Atlanta, GA 30319, United States",+1 404-237-0319,capitalcitydentistryofatlanta.com,,(32),[]
Coast Dental,,+1 678-891-0069,coastdental.com,,(388),[]
Edgewood Smiles Dentistry,"144 Moreland Ave NE Ste A, Atlanta, GA 30307, United States",+1 404-329-0411,edgewoodsmilesdentistry.com,,(328),[]
